id,Team,Season,Gm,PDO,GF,GA,G+/-,CF%,CP60,OFOn%,OSh%,OSv%,FO%,ZSO%,HSCF%,HSC+/-,HSCF,HSCA,HSCF60,HSCA60,HSCP60,SCF%,SC+/-,SCF,SCA,SCF60,SCA60,SCP60,CF%,C+/-,CF,CA,CF60,CA60,CP60,FF%,F+/-,FF60,FA60,FF,FA,FP60,MSF,MSA,BSF,BSA,SF%,S+/-,SF60,SA60,SF,SA,GF60,GA60,GF%,OSh%,OFenSh%,OSv%,OCOn%,OFOn%,FO%,FO_W,FO_L,ZSO,ZSN,ZSD,HIT,HIT-,PN,PN-,PenD,TOI,PPSuccess,5v5G+/-,PKSuccess,Standing,Winstreak
1,WSH,20152016,72,102.3,227,169,58,49.9,112.2,71.7,10.4,91.9,49.8,50.3,50.9,28,802,774,11,10.6,21.6,50.8,66,2011,1945,27.6,26.7,54.3,49.9,-13,4080,4093,56,56.2,112.2,50.6,75,41.8,40.7,3042,2967,82.5,860,890,1038,1126,51.2,105,30,28.5,2182,2077,3.1,2.3,57.3,10.4,7.5,91.9,53.5,71.7,49.8,2110,2128,1433,1391,1414,1789,1646,285,284,-1,4369.2,17.6056338,37,87.36842105,1,1
1,PHI,20152016,73,100.3,190,187,3,50.3,115.2,71.5,8.5,91.8,50.6,49.8,50.6,20,892,872,12,11.7,23.7,49.7,-27,2070,2097,27.8,28.2,56.1,50.3,57,4309,4252,58,57.2,115.2,50.4,44,42.1,41.5,3131,3087,83.7,893,805,1178,1165,49.5,-44,30.1,30.7,2238,2282,2.6,2.5,50.4,8.5,6.1,91.8,51.9,71.5,50.6,2221,2171,1482,1417,1493,1996,1942,331,340,9,4460,12.94117647,9,86.40483384,8,3
2,NYR,20152016,74,101.4,209,192,17,47.3,110.3,71.8,9.9,91.5,49.4,49.4,45.9,-135,748,883,10,11.8,21.8,46.1,-305,1783,2088,23.8,27.9,51.7,47.3,-449,3901,4350,52.1,58.1,110.3,48.2,-225,39.2,42.2,2936,3161,81.5,827,903,965,1189,48.3,-149,28.2,30.2,2109,2258,2.8,2.6,52.1,9.9,7.1,91.5,54.1,71.8,49.4,2098,2148,1406,1399,1441,1966,1686,273,260,-13,4490,13.84615385,33,83.51648352,2,0
2,BOS,20152016,75,100.2,215,205,10,49.2,113.5,73.8,9.1,91.1,50.3,48.7,48.4,-56,825,881,10.9,11.6,22.5,48.4,-141,2084,2225,27.5,29.3,56.8,49.2,-133,4239,4372,55.9,57.6,113.5,49.4,-72,42.2,43.1,3201,3273,85.3,838,965,1038,1099,50.6,55,31.1,30.4,2363,2308,2.8,2.7,51.2,9.1,6.7,91.1,55.7,73.8,50.3,2360,2332,1559,1493,1640,1981,1813,335,295,-40,4553.5,14.23728814,8,86.86567164,7,2
3,FLA,20152016,74,101.5,204,179,25,48.8,100.7,73.1,9.7,91.8,49.9,47.8,49.6,-13,735,748,9.8,10,19.7,50.2,12,1749,1737,23.3,23.1,46.4,48.8,-187,3687,3874,49.1,51.6,100.7,49,-116,38.5,40,2888,3004,78.5,778,812,799,870,49,-82,28.1,29.2,2110,2192,2.7,2.4,53.3,9.7,7.1,91.8,57.2,73.1,49.9,2292,2302,1502,1455,1637,1768,1880,327,331,4,4506.2,12.08,20,87.156,3,1
3,NYI,20152016,72,101,196,177,19,49.6,112.4,72.1,9.2,91.9,49.8,51.3,49.5,-16,849,865,11.6,11.8,23.4,49.6,-33,2069,2102,28.3,28.7,57,49.6,-58,4085,4143,55.8,56.6,112.4,49.8,-22,40.6,40.9,2971,2993,81.5,830,815,1114,1150,49.6,-37,29.3,29.8,2141,2178,2.7,2.4,52.5,9.2,6.6,91.9,52.4,72.1,49.8,2043,2057,1427,1321,1352,2071,1851,267,264,-3,4390.3,14.01515152,8,89.88764045,6,0
4,T.B,20152016,73,101.3,199,170,29,50.9,107.6,70.3,9.4,91.9,49.4,52.5,51.5,49,862,813,11.7,11,22.7,51.7,134,2055,1921,27.9,26,53.9,50.9,144,4042,3898,54.8,52.8,107.6,50.5,56,41,40.2,3025,2969,81.2,899,859,1017,929,50.2,16,28.8,28.6,2126,2110,2.7,2.3,53.9,9.4,6.6,91.9,52.6,70.3,49.4,2107,2157,1523,1365,1376,1476,1824,292,316,24,4426.7,12.34177215,25,88.01369863,4,3
4,PIT,20152016,73,100.2,201,178,23,52.4,110.9,74.5,8.3,91.8,50.5,51.5,53.9,135,937,802,12.7,10.9,23.5,54.6,387,2295,1908,31.1,25.8,56.9,52.4,392,4291,3899,58.1,52.8,110.9,52.3,284,43.8,39.9,3234,2950,83.7,826,768,1057,949,52.5,226,32.6,29.5,2408,2182,2.7,2.4,53,8.3,6.2,91.8,56.1,74.5,50.5,2307,2263,1604,1454,1512,1766,2065,287,290,3,4431.2,14.13793103,20,87.45644599,5,0
5,DAL,20152016,75,100.1,241,214,27,52.4,117.7,70.5,9.9,90.2,50.3,51.8,51.3,49,979,930,12.9,12.3,25.2,53.8,342,2447,2105,32.3,27.8,60,52.4,429,4675,4246,61.7,56,117.7,52.5,323,45.5,41.3,3452,3129,86.8,1020,955,1223,1117,52.8,258,32.1,28.7,2432,2174,3.2,2.8,53,9.9,7,90.2,52,70.5,50.3,2393,2364,1648,1574,1535,1419,1665,281,287,6,4548.4,17.07317073,4,85.05338078,1,0
5,MIN,20152016,75,100.5,199,187,12,48.8,108.2,72.6,9.1,91.4,52.2,51,51.1,36,855,819,11.3,10.8,22,49.7,-23,1962,1985,25.8,26.1,52,48.8,-191,4013,4204,52.8,55.3,108.2,49.3,-84,39.6,40.7,3006,3090,80.2,825,921,1007,1114,50.1,12,28.7,28.5,2181,2169,2.6,2.5,51.6,9.1,6.6,91.4,54.3,72.6,52.2,2378,2178,1581,1459,1516,1295,1525,227,286,59,4558.5,16.08391608,11,82.37885463,8,4
6,STL,20152016,74,100.4,190,181,9,49.9,107.4,73.2,8.5,91.9,51.4,48.1,47.5,-82,774,856,10.3,11.4,21.6,49.2,-63,1971,2034,26.2,27,53.1,49.9,-13,4040,4053,53.6,53.8,107.4,50.2,24,40.4,40.1,3048,3024,80.6,817,798,992,1029,50.1,5,29.6,29.5,2231,2226,2.5,2.4,51.2,8.5,6.2,91.9,55.2,73.2,51.4,2347,2221,1509,1429,1630,1743,1698,328,281,-47,4521.4,16.37010676,14,89.02439024,2,3
6,S.J,20152016,74,100.3,214,189,25,51.4,110.2,71.3,9.5,90.7,50.4,49.9,56.2,220,1001,781,13.4,10.4,23.8,53.7,297,2136,1839,28.5,24.6,53.1,51.4,227,4238,4011,56.6,53.6,110.2,52.6,312,42,37.9,3146,2834,79.9,904,793,1092,1177,52.3,201,30,27.3,2242,2041,2.9,2.5,53.1,9.5,6.8,90.7,52.9,71.3,50.4,2230,2192,1448,1521,1453,1498,1759,268,305,37,4490.9,17.04918033,12,85.82089552,7,0
7,L.A,20152016,74,100,198,169,29,54.8,112.4,68.6,8.3,91.7,50.4,53.5,53,100,881,781,11.7,10.4,22.2,53.2,266,2182,1916,29.1,25.6,54.7,54.8,816,4622,3806,61.6,50.8,112.4,54.6,589,46.2,38.4,3467,2878,84.6,1090,841,1155,928,53.9,340,31.7,27.2,2377,2037,2.6,2.3,54,8.3,5.7,91.7,51.4,68.6,50.4,2285,2245,1697,1360,1473,2248,1961,321,284,-37,4498.9,15.49295775,17,85.04672897,3,0
7,NSH,20152016,74,99.6,201,188,13,51.9,106.5,72.5,8.9,90.7,49.3,50.9,54.3,121,770,649,10.3,8.7,18.9,53.4,251,1946,1695,26,22.6,48.6,51.9,296,4137,3841,55.2,51.3,106.5,53.1,366,41.4,36.5,3103,2737,78,852,716,1034,1104,52.7,230,30,27,2251,2021,2.7,2.5,51.7,8.9,6.5,90.7,54.4,72.5,49.3,2187,2246,1539,1412,1482,1703,1507,292,302,10,4494.9,14.90066225,10,86.30136986,6,0
8,CHI,20152016,74,100.9,204,183,21,50.6,110.5,74.8,9,92,49.4,51.2,48.1,-63,789,852,10.6,11.4,22,49.9,-10,1913,1923,25.6,25.7,51.3,50.6,92,4175,4083,55.8,54.6,110.5,49.8,-26,40.7,41.1,3043,3069,81.8,766,788,1132,1014,50,-4,30.5,30.5,2277,2281,2.7,2.4,52.7,9,6.7,92,54.5,74.8,49.4,2171,2220,1495,1472,1424,1292,2245,246,269,23,4485.5,17.84386617,-3,82.92682927,4,0
8,ANA,20152016,73,99.9,187,170,17,52.4,110.1,69.9,8.4,91.5,51.7,49,52.9,92,841,749,11.4,10.1,21.5,52.4,182,1955,1773,26.5,24,50.5,52.4,389,4262,3873,57.7,52.4,110.1,53,360,43.3,38.4,3196,2836,81.7,963,830,1066,1037,52.7,227,30.2,27.2,2233,2006,2.5,2.3,52.4,8.4,5.9,91.5,52.4,69.9,51.7,2218,2070,1434,1364,1490,1990,1848,352,312,-40,4431.3,16.02564103,-8,90.625,5,0
