id,Team,PDO,GF,GA,G+/-,OSh%,OSv%,FF%,PPSuccess,5v5G+/-,PKSuccess,Standing,Winstreak
1,WSH,102.3,227,169,58,10.4,91.9,50.6,17.6056338,37,87.36842105,1,1
1,PHI,100.3,190,187,3,8.5,91.8,50.4,12.94117647,9,86.40483384,8,3
2,NYR,101.4,209,192,17,9.9,91.5,48.2,13.84615385,33,83.51648352,2,0
2,BOS,100.2,215,205,10,9.1,91.1,49.4,14.23728814,8,86.86567164,7,2
3,FLA,101.5,204,179,25,9.7,91.8,49,12.08,20,87.156,3,1
3,NYI,101,196,177,19,9.2,91.9,49.8,14.01515152,8,89.88764045,6,0
4,T.B,101.3,199,170,29,9.4,91.9,50.5,12.34177215,25,88.01369863,4,3
4,PIT,100.2,201,178,23,8.3,91.8,52.3,14.13793103,20,87.45644599,5,0
5,DAL,100.1,241,214,27,9.9,90.2,52.5,17.07317073,4,85.05338078,1,0
5,MIN,100.5,199,187,12,9.1,91.4,49.3,16.08391608,11,82.37885463,8,4
6,STL,100.4,190,181,9,8.5,91.9,50.2,16.37010676,14,89.02439024,2,3
6,S.J,100.3,214,189,25,9.5,90.7,52.6,17.04918033,12,85.82089552,7,0
7,L.A,100,198,169,29,8.3,91.7,54.6,15.49295775,17,85.04672897,3,0
7,NSH,99.6,201,188,13,8.9,90.7,53.1,14.90066225,10,86.30136986,6,0
8,CHI,100.9,204,183,21,9,92,49.8,17.84386617,-3,82.92682927,4,0
8,ANA,99.9,187,170,17,8.4,91.5,53,16.02564103,-8,90.625,5,0
